head,relation,tail
user_94,rated,movie_1220
user_274,rated,movie_405
user_7,rated,movie_492
user_268,rated,movie_217
user_16,rated,movie_55
user_164,rated,movie_620
user_290,rated,movie_161
user_92,rated,movie_515
user_239,rated,movie_1070
user_56,rated,movie_449
user_248,rated,movie_234
user_234,rated,movie_10
user_280,rated,movie_1049
user_308,rated,movie_187
user_276,rated,movie_64
user_192,rated,movie_948
user_122,rated,movie_509
user_85,rated,movie_588
user_262,rated,movie_931
user_201,rated,movie_272
user_181,rated,movie_870
user_295,rated,movie_739
user_263,rated,movie_568
user_295,rated,movie_39
user_201,rated,movie_1100
user_93,rated,movie_820
user_159,rated,movie_1028
user_158,rated,movie_665
user_293,rated,movie_423
user_82,rated,movie_597
user_276,rated,movie_181
user_13,rated,movie_823
user_217,rated,movie_2
user_83,rated,movie_660
user_189,rated,movie_20
user_222,rated,movie_796
user_146,rated,movie_1022
user_267,rated,movie_121
user_126,rated,movie_294
user_181,rated,movie_1060
user_125,rated,movie_80
user_43,rated,movie_120
user_13,rated,movie_780
user_253,rated,movie_259
user_42,rated,movie_44
user_77,rated,movie_518
user_291,rated,movie_686
user_268,rated,movie_21
user_262,rated,movie_28
user_234,rated,movie_81
user_29,rated,movie_245
user_236,rated,movie_57
user_158,rated,movie_729
user_156,rated,movie_661
user_232,rated,movie_52
user_168,rated,movie_866
user_37,rated,movie_288
user_141,rated,movie_245
user_235,rated,movie_230
user_102,rated,movie_70
user_77,rated,movie_172
user_90,rated,movie_506
user_186,rated,movie_566
user_44,rated,movie_660
user_118,rated,movie_774
user_7,rated,movie_661
user_49,rated,movie_1003
user_62,rated,movie_68
user_42,rated,movie_1028
user_178,rated,movie_433
user_85,rated,movie_51
user_77,rated,movie_474
user_58,rated,movie_1099
user_56,rated,movie_1047
user_197,rated,movie_688
user_286,rated,movie_99
user_90,rated,movie_258
user_181,rated,movie_1288
user_295,rated,movie_190
user_224,rated,movie_69
user_272,rated,movie_317
user_221,rated,movie_1010
user_66,rated,movie_877
user_207,rated,movie_318
user_234,rated,movie_487
user_7,rated,movie_648
user_87,rated,movie_82
user_195,rated,movie_1052
user_44,rated,movie_449
user_306,rated,movie_287
user_194,rated,movie_172
user_94,rated,movie_62
user_167,rated,movie_659
user_108,rated,movie_100
user_230,rated,movie_304
user_181,rated,movie_927
user_54,rated,movie_302
user_90,rated,movie_22
user_181,rated,movie_696
user_286,rated,movie_357
user_14,rated,movie_269
user_311,rated,movie_179
user_92,rated,movie_121
user_21,rated,movie_440
user_244,rated,movie_550
user_181,rated,movie_405
user_65,rated,movie_806
user_37,rated,movie_540
user_44,rated,movie_443
user_244,rated,movie_183
user_1,rated,movie_265
user_270,rated,movie_25
user_299,rated,movie_387
user_94,rated,movie_572
user_286,rated,movie_746
user_239,rated,movie_272
user_216,rated,movie_55
user_254,rated,movie_121
user_62,rated,movie_665
user_178,rated,movie_385
user_194,rated,movie_23
user_268,rated,movie_955
user_188,rated,movie_143
user_276,rated,movie_294
user_158,rated,movie_1098
user_207,rated,movie_845
user_161,rated,movie_48
user_305,rated,movie_654
user_47,rated,movie_324
user_64,rated,movie_736
user_191,rated,movie_751
user_7,rated,movie_378
user_59,rated,movie_92
user_69,rated,movie_268
user_10,rated,movie_461
user_21,rated,movie_129
user_58,rated,movie_9
user_194,rated,movie_152
user_7,rated,movie_200
user_113,rated,movie_126
user_173,rated,movie_328
user_95,rated,movie_233
user_16,rated,movie_194
user_59,rated,movie_323
user_311,rated,movie_654
user_292,rated,movie_589
user_43,rated,movie_203
user_79,rated,movie_50
user_235,rated,movie_70
user_125,rated,movie_190
user_284,rated,movie_322
user_303,rated,movie_161
user_254,rated,movie_378
user_255,rated,movie_1034
user_104,rated,movie_301
user_90,rated,movie_923
user_6,rated,movie_463
user_279,rated,movie_122
user_286,rated,movie_298
user_222,rated,movie_448
user_297,rated,movie_57
user_42,rated,movie_625
user_130,rated,movie_1217
user_254,rated,movie_357
user_109,rated,movie_475
user_230,rated,movie_1444
user_244,rated,movie_310
user_6,rated,movie_301
user_36,rated,movie_748
user_256,rated,movie_443
user_102,rated,movie_515
user_104,rated,movie_285
user_21,rated,movie_447
user_111,rated,movie_301
user_18,rated,movie_408
user_25,rated,movie_222
user_110,rated,movie_944
user_270,rated,movie_98
user_68,rated,movie_237
user_83,rated,movie_215
user_6,rated,movie_258
user_89,rated,movie_216
user_128,rated,movie_317
user_305,rated,movie_512
user_184,rated,movie_412
user_286,rated,movie_175
user_279,rated,movie_1428
user_256,rated,movie_86
user_221,rated,movie_48
user_140,rated,movie_332
user_190,rated,movie_977
user_11,rated,movie_227
user_201,rated,movie_203
user_150,rated,movie_181
user_126,rated,movie_245
user_20,rated,movie_208
user_144,rated,movie_742
user_181,rated,movie_930
user_109,rated,movie_566
user_85,rated,movie_1065
user_213,rated,movie_133
user_222,rated,movie_379
user_223,rated,movie_11
user_215,rated,movie_421
user_218,rated,movie_208
user_174,rated,movie_937
user_275,rated,movie_186
user_68,rated,movie_742
user_268,rated,movie_583
user_160,rated,movie_462
user_195,rated,movie_273
user_224,rated,movie_178
user_5,rated,movie_110
user_99,rated,movie_1016
user_2,rated,movie_251
user_292,rated,movie_9
user_72,rated,movie_568
user_85,rated,movie_228
user_83,rated,movie_281
user_92,rated,movie_831
user_7,rated,movie_543
user_87,rated,movie_401
user_287,rated,movie_926
user_1,rated,movie_155
user_234,rated,movie_632
user_222,rated,movie_53
user_24,rated,movie_64
user_7,rated,movie_554
user_82,rated,movie_56
user_161,rated,movie_318
user_196,rated,movie_393
user_56,rated,movie_91
user_82,rated,movie_477
user_7,rated,movie_472
user_256,rated,movie_761
user_226,rated,movie_56
user_279,rated,movie_741
user_308,rated,movie_1286
user_16,rated,movie_8
user_180,rated,movie_202
user_203,rated,movie_93
user_145,rated,movie_56
user_288,rated,movie_305
user_84,rated,movie_742
user_44,rated,movie_644
user_17,rated,movie_13
user_313,rated,movie_117
user_148,rated,movie_1
user_197,rated,movie_347
user_21,rated,movie_164
user_279,rated,movie_982
user_239,rated,movie_491
user_185,rated,movie_287
user_297,rated,movie_89
user_303,rated,movie_68
user_186,rated,movie_250
user_73,rated,movie_206
user_104,rated,movie_756
user_94,rated,movie_216
user_239,rated,movie_194
user_197,rated,movie_511
user_280,rated,movie_1
user_1,rated,movie_117
user_224,rated,movie_583
user_303,rated,movie_397
user_60,rated,movie_162
user_198,rated,movie_258
user_239,rated,movie_513
user_6,rated,movie_69
user_233,rated,movie_375
user_85,rated,movie_642
user_110,rated,movie_38
user_184,rated,movie_522
user_99,rated,movie_873
user_13,rated,movie_418
user_201,rated,movie_518
user_13,rated,movie_858
user_214,rated,movie_131
user_296,rated,movie_228
user_222,rated,movie_87
user_279,rated,movie_725
user_217,rated,movie_182
user_85,rated,movie_433
user_239,rated,movie_234
user_13,rated,movie_72
user_194,rated,movie_77
user_208,rated,movie_663
user_109,rated,movie_178
user_230,rated,movie_172
user_59,rated,movie_485
user_313,rated,movie_478
user_70,rated,movie_1133
user_62,rated,movie_182
user_198,rated,movie_234
user_65,rated,movie_125
user_174,rated,movie_660
user_90,rated,movie_12
user_130,rated,movie_1248
user_100,rated,movie_354
user_283,rated,movie_432
user_275,rated,movie_418
user_311,rated,movie_98
user_195,rated,movie_751
user_130,rated,movie_105
user_269,rated,movie_252
user_286,rated,movie_73
user_7,rated,movie_623
user_56,rated,movie_222
user_210,rated,movie_204
user_239,rated,movie_9
user_96,rated,movie_87
user_297,rated,movie_73
user_249,rated,movie_239
user_94,rated,movie_860
user_84,rated,movie_121
user_275,rated,movie_265
user_135,rated,movie_1046
user_291,rated,movie_1178
user_125,rated,movie_382
user_70,rated,movie_399
user_311,rated,movie_9
user_301,rated,movie_523
user_152,rated,movie_685
user_244,rated,movie_172
user_275,rated,movie_1091
user_53,rated,movie_281
user_198,rated,movie_118
user_244,rated,movie_790
user_26,rated,movie_125
user_151,rated,movie_13
user_124,rated,movie_496
user_24,rated,movie_191
user_271,rated,movie_65
user_307,rated,movie_634
user_294,rated,movie_1245
user_234,rated,movie_241
user_25,rated,movie_501
user_293,rated,movie_137
user_201,rated,movie_432
user_75,rated,movie_240
user_13,rated,movie_181
user_207,rated,movie_68
user_2,rated,movie_50
user_313,rated,movie_566
user_144,rated,movie_125
user_188,rated,movie_443
user_276,rated,movie_324
user_145,rated,movie_974
user_72,rated,movie_234
user_83,rated,movie_385
user_181,rated,movie_619
user_109,rated,movie_402
user_207,rated,movie_107
user_185,rated,movie_216
user_14,rated,movie_213
user_149,rated,movie_319
user_57,rated,movie_79
user_230,rated,movie_963
user_176,rated,movie_875
user_253,rated,movie_97
user_284,rated,movie_269
user_106,rated,movie_526
user_121,rated,movie_180
user_62,rated,movie_86
user_291,rated,movie_418
user_84,rated,movie_1033
user_293,rated,movie_380
user_207,rated,movie_58
user_194,rated,movie_187
user_109,rated,movie_97
user_283,rated,movie_845
user_297,rated,movie_275
user_181,rated,movie_334
user_78,rated,movie_255
user_11,rated,movie_425
user_308,rated,movie_59
user_193,rated,movie_1078
user_297,rated,movie_234
user_87,rated,movie_585
user_250,rated,movie_204
user_8,rated,movie_50
user_186,rated,movie_148
user_312,rated,movie_692
user_91,rated,movie_683
user_5,rated,movie_454
user_291,rated,movie_376
user_175,rated,movie_127
user_145,rated,movie_737
user_7,rated,movie_644
user_276,rated,movie_419
user_83,rated,movie_210
user_102,rated,movie_524
user_153,rated,movie_174
user_62,rated,movie_302
user_49,rated,movie_995
user_268,rated,movie_298
user_207,rated,movie_554
user_313,rated,movie_616
user_286,rated,movie_44
user_279,rated,movie_168
user_276,rated,movie_474
user_62,rated,movie_59
user_254,rated,movie_219
user_83,rated,movie_97
user_63,rated,movie_100
user_16,rated,movie_178
user_297,rated,movie_233
user_90,rated,movie_945
user_85,rated,movie_25
user_42,rated,movie_98
user_303,rated,movie_393
user_274,rated,movie_50
user_104,rated,movie_299
user_94,rated,movie_792
user_184,rated,movie_98
user_293,rated,movie_708
user_248,rated,movie_589
user_18,rated,movie_950
user_217,rated,movie_27
user_200,rated,movie_892
user_201,rated,movie_148
user_296,rated,movie_222
user_7,rated,movie_662
user_196,rated,movie_381
user_69,rated,movie_427
user_72,rated,movie_196
user_256,rated,movie_472
user_128,rated,movie_182
user_151,rated,movie_747
user_7,rated,movie_171
user_286,rated,movie_85
user_172,rated,movie_220
user_308,rated,movie_516
user_190,rated,movie_974
user_82,rated,movie_756
user_308,rated,movie_436
user_59,rated,movie_235
user_64,rated,movie_1063
user_145,rated,movie_756
user_220,rated,movie_298
user_21,rated,movie_324
user_285,rated,movie_269
user_207,rated,movie_65
user_198,rated,movie_658
user_220,rated,movie_333
user_210,rated,movie_70
user_181,rated,movie_14
user_158,rated,movie_128
